"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to verify to CRUD operation of the application","I create a new user on the application","SUCCESS","2022-06-21T11:48:21.748+01:00[Europe/London]","0.0","7.83"
"As a user I would like to verify to CRUD operation of the application","I read a newly created user from the application","SUCCESS","2022-06-21T11:48:31.612+01:00[Europe/London]","0.0","0.8"
"As a user I would like to verify to CRUD operation of the application","I update a newly created user on the application","SUCCESS","2022-06-21T11:48:32.445+01:00[Europe/London]","0.0","0.76"
"As a user I would like to verify to CRUD operation of the application","I delete a newly created user from the application","SUCCESS","2022-06-21T11:48:33.241+01:00[Europe/London]","0.0","1.47"
"User CURD test with steps","This will create a new User","SUCCESS","2022-06-21T11:48:36.504+01:00[Europe/London]","0.0","0.8"
"User CURD test with steps","This will Fetch user by ID","SUCCESS","2022-06-21T11:48:37.301+01:00[Europe/London]","0.0","0.73"
"User CURD test with steps","This will Fetch user by ID","SUCCESS","2022-06-21T11:48:38.031+01:00[Europe/London]","0.0","0.72"
"User CURD test with steps","This will Delete user by ID","SUCCESS","2022-06-21T11:48:38.752+01:00[Europe/London]","0.0","1.39"
"User CURD test with steps","1. This will Verify if Total record is 20","SUCCESS","2022-06-21T11:48:40.148+01:00[Europe/London]","0.0","0.71"
"User CURD test with steps","4.All ID has status =active","SUCCESS","2022-06-21T11:48:42.364+01:00[Europe/London]","0.0","0.8"
